customer_id,gender,education,marital_status,age
1,F,university,married,24
2,F,university,single,26
3,F,university,single,34
4,F,university,married,37
5,M,university,married,57
6,M,graduate school,single,37
7,M,graduate school,single,29
8,F,university,single,23
9,F,high school,married,28
10,M,high school,single,35
11,F,high school,single,34
12,F,graduate school,single,51
13,F,university,single,41
14,M,university,single,30
15,M,graduate school,single,29
16,F,high school,others,23
17,M,graduate school,single,24
18,M,graduate school,married,49
19,F,graduate school,married,49
20,F,graduate school,single,29
21,F,high school,single,39
22,F,university,married,39
23,F,university,single,26
24,F,graduate school,married,40
25,M,graduate school,single,23
26,M,high school,single,23
27,M,graduate school,single,27
28,F,high school,single,30
29,F,high school,married,47
30,M,graduate school,single,26
31,F,graduate school,single,27
32,M,university,single,33
33,M,graduate school,single,32
34,F,university,married,54
35,M,graduate school,married,58
36,M,graduate school,single,30
37,M,university,married,40
38,F,university,single,22
39,M,graduate school,single,25
40,M,graduate school,single,31
41,M,graduate school,single,33
42,F,graduate school,single,25
43,M,university,single,22
44,F,university,married,37
45,F,graduate school,single,30
46,M,graduate school,single,29
47,F,graduate school,single,22
48,F,unknown,single,46
49,M,university,single,32
50,M,graduate school,single,24
51,M,high school,single,42
52,F,high school,others,43
53,F,university,married,49
54,F,graduate school,single,25
55,F,graduate school,single,29
56,F,graduate school,married,45
57,F,high school,married,34
58,F,university,married,34
59,F,graduate school,single,34
60,F,university,married,29
61,F,high school,married,28
62,M,university,married,39
63,M,graduate school,single,29
64,F,university,married,46
65,F,university,married,51
66,M,graduate school,married,57
67,M,university,married,56
68,F,graduate school,single,30
69,F,high school,single,29
70,M,unknown,single,22
71,M,graduate school,single,31
72,M,university,single,29
73,F,university,married,32
74,F,graduate school,single,37
75,M,graduate school,single,32
76,M,university,single,24
77,M,high school,single,25
78,F,graduate school,married,45
79,F,university,single,22
80,F,university,single,44
81,F,high school,others,33
82,F,graduate school,single,26
83,M,high school,single,30
84,F,university,married,44
85,F,high school,single,49
86,M,university,single,33
87,F,graduate school,married,45
88,F,university,single,32
89,F,graduate school,married,35
90,M,high school,single,44
91,M,graduate school,married,53
92,F,graduate school,single,39
93,F,graduate school,single,27
94,F,university,married,37
95,F,university,single,23
96,M,university,single,35
97,M,graduate school,married,43
98,M,graduate school,single,27
99,F,high school,married,22
100,M,university,married,38
101,M,graduate school,single,32
102,F,graduate school,single,30
103,M,graduate school,married,63
104,F,high school,single,22
105,F,university,single,26
106,F,university,single,24
107,F,university,married,36
108,M,graduate school,single,52
109,M,university,single,38
110,M,university,married,35
111,F,graduate school,married,31
112,M,high school,married,47
113,M,university,married,41
114,F,graduate school,single,24
115,M,university,single,41
116,M,graduate school,single,24
117,M,graduate school,single,28
118,M,university,single,26
119,M,university,married,34
120,F,university,single,38
121,M,high school,single,37
122,M,graduate school,married,40
123,F,graduate school,married,48
124,F,university,married,35
125,M,graduate school,single,27
126,M,university,single,23
127,M,high school,single,52
128,M,graduate school,married,36
129,M,university,married,51
130,M,high school,married,55
131,F,graduate school,single,23
132,M,graduate school,single,41
133,M,university,married,34
134,M,high school,married,46
135,F,university,single,22
136,M,university,married,34
137,M,graduate school,single,27
138,F,university,married,33
139,F,high school,married,51
140,M,graduate school,single,24
141,M,graduate school,single,47
142,M,university,single,28
143,M,university,single,23
144,M,university,single,29
145,M,graduate school,single,29
146,M,graduate school,single,28
147,F,university,single,27
148,M,graduate school,single,34
149,F,university,married,23
150,F,graduate school,married,60
151,M,university,married,32
152,M,graduate school,single,25
153,M,graduate school,single,41
154,F,university,married,56
155,F,high school,single,26
156,M,graduate school,married,34
157,F,graduate school,single,37
158,F,high school,single,30
159,M,high school,married,45
160,M,high school,married,57
161,M,graduate school,single,41
162,M,university,single,27
163,M,high school,married,47
164,F,graduate school,married,34
165,F,university,married,46
166,F,graduate school,single,27
167,M,graduate school,single,50
168,M,university,married,27
169,F,university,married,35
170,F,university,single,22
171,M,university,single,37
172,F,graduate school,single,30
173,F,university,single,22
174,F,graduate school,single,24
175,M,graduate school,single,29
176,M,high school,married,56
177,M,graduate school,single,30
178,M,university,single,30
179,F,university,single,22
180,F,university,married,29
181,M,graduate school,single,37
182,F,high school,single,35
183,F,graduate school,married,47
184,F,university,married,24
185,M,university,single,25
186,F,university,married,38
187,F,graduate school,single,32
188,F,high school,single,47
189,F,university,married,34
190,F,university,single,31
191,M,graduate school,single,32
192,F,graduate school,single,27
193,F,graduate school,single,29
